"Reservoir","Site","Date","ThermistorTemp_C_surface","ThermistorTemp_C_1","ThermistorTemp_C_2","ThermistorTemp_C_3","ThermistorTemp_C_4","ThermistorTemp_C_5","ThermistorTemp_C_6","ThermistorTemp_C_7","ThermistorTemp_C_8","ThermistorTemp_C_9","RDO_mgL_5_adjusted","RDO_mgL_9_adjusted","EXODO_mgL_1","EXOChla_ugL_1"
"FCR",50,2023-05-22,21.9118678472222,21.0014571527778,18.1038842361111,14.0122836111111,11.3106881944444,9.88241111111111,9.88930065972222,9.89483773611111,9.8751839375,9.8545759375,12.7816382638889,12.6999361111111,14.3368055555556,20.8835416666667
"FCR",50,2023-05-23,22.0872311805556,21.4947497916667,18.3399752777778,14.0254207638889,11.3042446527778,9.91329361111111,9.91639052777778,9.92199196527778,9.90250754166667,9.88176411805556,12.6547944444444,12.58592125,15.7695138888889,23.0865277777778
"FCR",50,2023-05-24,22.2924270138889,21.3112400694444,18.5699086111111,14.1049753472222,11.331253125,9.93542619444444,9.94201598611111,9.94731499305556,9.92768519444444,9.90741855555556,12.5673124305556,12.5055825694444,15.3844444444444,18.814375
"FCR",50,2023-05-25,21.313165625,21.0463089583333,18.6500504861111,14.1584465972222,11.3501859722222,9.96699513888889,9.96921578472222,9.97360994444444,9.95377670138889,9.93252730555556,12.4263097222222,12.4034317361111,15.6283333333333,19.5202777708333
"FCR",50,2023-05-26,21.2367524305556,20.7251809722222,19.0108538194444,14.2772772916667,11.3814802083333,9.98298463888889,9.99378332638889,9.99928413888889,9.97996732638889,9.95936078472222,12.3742484722222,12.3068247222222,13.4048611111111,13.235625
"FCR",50,2023-05-27,20.4758114583333,20.3998484027778,19.1624970833333,14.3139599305556,11.3590531944444,10.0155922013889,10.0185754861111,10.0241045833333,10.0046389166667,9.98398741666667,12.2698508333333,12.2266245833333,12.8897222222222,13.3043749861111
"FCR",50,2023-05-28,19.4324969444444,19.37341875,19.3031651388889,14.3452915277778,11.4094059027778,10.029138125,10.039458125,10.0456272916667,10.0265456944444,10.0057988819444,12.2122191666667,12.1253634722222,12.4555555555556,15.3808333333333
"FCR",50,2023-05-29,19.1089634027778,18.8735063888889,18.4225218055556,14.3782211805556,11.3802029166667,10.0433140277778,10.0511381944444,10.0528747222222,10.0260625694444,9.98384047916667,12.0928854166667,11.1519013888889,11.8867361111111,17.9264583333333
"FCR",50,2023-05-30,19.5578735416667,18.9659064583333,17.8616151388889,14.4234002083333,11.4423923611111,10.06696125,10.0407707638889,10.0374072916667,9.99991247222222,9.94702359027778,11.8710473611111,10.0050176319444,12.2336111111111,20.7365972222222
"FCR",50,2023-05-31,20.8439766666667,19.1060188194444,17.7973560416667,14.4830731944444,11.4084571527778,10.050439375,10.0618595138889,10.0678125,10.0485539583333,10.0279781944444,11.72878125,11.622155625,12.6256944444444,20.5359722222222
