"Reservoir","Site","Date","ThermistorTemp_C_1","ThermistorTemp_C_2","ThermistorTemp_C_3","ThermistorTemp_C_4","ThermistorTemp_C_5","ThermistorTemp_C_6","ThermistorTemp_C_7","ThermistorTemp_C_8","ThermistorTemp_C_9","ThermistorTemp_C_10","ThermistorTemp_C_11","ThermistorTemp_C_12","ThermistorTemp_C_13","RDO_mgL_6","RDO_mgL_13","EXODO_mgL_1.5","EXOChla_RFU_1.5","EXOChla_ugL_1.5"
"BVR",50,2022-01-21,NA,NA,NA,2.00318651388889,2.12012015277778,2.21324772916667,2.26558722916667,2.35562618055556,2.40943144444444,2.54938777777778,2.76347363888889,2.93111435416667,2.99755640277778,13.3970565277778,11.8127675694444,NA,NA,NA
"BVR",50,2022-01-22,NA,NA,NA,1.75653036736111,1.98039779166667,2.36160554166667,2.4944315,2.62503444444444,2.70120109722222,2.84657810416667,3.00420034722222,3.18847207638889,3.28742258333333,13.2897830555556,10.9056766666667,NA,NA,NA
"BVR",50,2022-01-23,NA,NA,NA,2.50518453472222,2.55808994444444,2.63637457638889,2.66401434027778,2.72264943055556,2.74133632638889,2.84496790277778,2.92781504166667,3.08522347222222,3.22013106944444,13.2434164583333,10.9965138888889,NA,NA,NA
"BVR",50,2022-01-24,NA,NA,NA,2.66766861111111,2.68735566666667,2.722604875,2.72671569444444,2.78815649305556,2.77478001388889,2.83549386805556,2.91149370138889,3.00988507638889,3.06071866666667,13.0871894444444,12.4472927083333,NA,NA,NA
"BVR",50,2022-01-25,NA,NA,NA,2.81190804166667,2.85266891666667,2.87471772222222,2.89787520138889,2.92805538888889,2.89943775,2.94780918055556,3.01005673611111,3.12514534027778,3.18585201388889,13.2238786111111,12.5769090972222,NA,NA,NA
"BVR",50,2022-01-26,NA,NA,NA,2.58221832638889,2.60945738888889,2.63911814583333,2.6826499375,2.71549279166667,2.6980429375,2.75182102777778,2.767401125,2.8124658125,2.80315032638889,13.3973277083333,13.2750990277778,13.3170588235294,3.62470588235294,14.5992156862745
"BVR",50,2022-01-27,NA,NA,NA,2.79997016666667,3.14454796527778,3.26510363194444,3.27113886805556,3.33472375694444,3.3140069375,3.37294507638889,3.403665875,3.46438825,3.45714734027778,13.3666050694444,12.6435093055556,13.2883216783217,3.25363636363636,13.1016783426573
"BVR",50,2022-01-28,NA,NA,NA,2.62958981118881,3.18210033566434,3.33550707692308,3.36764908391608,3.42864671328671,3.3987241048951,3.45401214685315,3.48723383216783,3.54586814685315,3.59130113986014,13.5306608391608,11.8295815384615,13.4975,3.45763888888889,13.921111125
"BVR",50,2022-01-29,NA,NA,NA,2.7833989375,2.87183247916667,2.87529452777778,2.90514983333333,2.92928476388889,2.89979017361111,2.93861152777778,2.94201610416667,2.9846504375,3.01037511111111,13.613114375,13.2160965972222,13.4636805555556,3.21979166666667,12.9648611111111
"BVR",50,2022-01-30,NA,NA,NA,2.50129590277778,2.88489358333333,3.05639663888889,3.16762305555556,3.27747992361111,3.30177194444444,3.39466113888889,3.43497402083333,3.51817273611111,3.51615367361111,13.6533504166667,13.15055,13.5752083333333,3.64604166666667,14.6859722291667
"BVR",50,2022-01-31,NA,NA,NA,2.88686390277778,3.33137417361111,3.46776275694444,3.47683220833333,3.51238883333333,3.48579017361111,3.58862174305556,3.63582753472222,3.72442097222222,3.7263119375,13.6657907638889,12.1192272916667,13.7475,2.89271428571429,11.6439285642857
"BVR",50,2022-02-01,NA,NA,NA,3.14591743055556,3.47985517361111,3.53841473611111,3.51662738194444,3.55604442361111,3.55515134027778,3.6882361875,3.76318184722222,3.85607927083333,3.88106976388889,13.7770177083333,10.6084401319444,13.8120979020979,2.5927972027972,10.4321678111888
"BVR",50,2022-02-02,NA,NA,NA,3.42724646527778,3.6681990625,3.70490936805556,3.66823040972222,3.70093184722222,3.72259876388889,3.80130868055556,3.84922084722222,3.91465968055556,3.98137130555556,13.8719240972222,8.29230741666667,13.8830555555556,2.60798611111111,10.4940277708333
"BVR",50,2022-02-03,NA,NA,NA,2.80924663194444,3.76319475,3.7931308125,3.77484166666667,3.82479577777778,3.81303609027778,3.84186591666667,3.89539466666667,4.00663030555556,4.05727463194444,13.89251625,7.09340099305556,13.88375,3.16791666666667,12.7544444513889
